"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"0","2025/04/13","JCBデビット","-646","みずほ銀行","現金・カード","カード引き落とし","","1","bSVLcIxSnq9DfsZbrRQuvbBsVQRBUANT9wdGv1R76JU"
"0","2025/04/13","JCBデビット","-70","みずほ銀行","現金・カード","カード引き落とし","","1","-TtC1l1nxzNNTPdKCTQO_BBysygkKTpOOVlXhJ4Ihx8"
"0","2025/04/13","JCBデビット","-70","みずほ銀行","現金・カード","カード引き落とし","","1","hpCRvzQ3-7GYKnwm84Yb2WZY8PSpsoJIAopioXEwMoY"
"1","2025/04/12","APPLE COM BILL","-300","三井住友カード (VpassID)","通信費","その他通信費","","0","LwKLml0uDBtNdC7ZHWDCTd1k-3AWkd-XFkIyaFSfWYE"
"0","2025/04/11","カード モバイル","5000","モバイルPASMO","未分類","未分類","","1","SO8yWJBM5OBye0RpREeRcxKtpN56t48fGh4nP8mNlJ0"
"1","2025/04/11","入 亀戸 出 逗子","-1110","モバイルPASMO","交通費","電車","","0","97vpW9ODIOEcmsejBO8xF0anHIRXrVv775yzM-5_eCY"
"1","2025/04/11","イヤホン 有線イヤホン 3.5mmジャック HIFI音質 音量調整 重低音 ノイズキャンセリング マイク付き 通話可能 ハイレゾ クリア通話 音量調節 ステレオイヤフォン ヘッドホン 販売: longchangshichengfengshuichanyangzhirb","-899","Amazon.co.jp","特別な支出","仕事用","","0","u-F-64bTh9l_Mkr3EQ9VCb9faSUSfqwlLFgabJk75BU"
"1","2025/04/11","そうてつローゼン","-967","みずほJCBデビット","食費","食料品","","0","lW_lSiLOlvlVHHiuLDxzYBYuSZ4xHyLQ0W1IVigwfko"
"1","2025/04/11","アクサダイレクト 自動車保険 月次","-5010","ポケットカード","保険","生命保険","","0","lQwsb1q_5xSD0SJ118Fq0OoQJjF2WlF-KZisGPiSXWA"
"0","2025/04/11","AMAZON.CO.JP","-899","ポケットカード","教養・教育","書籍","","1","75IX9Aj8lToTXT45kxHdtFDfleKgsWpZEMaa5GYY1Ms"
"1","2025/04/11","AP/サイゼリヤ/NFC","-650","ポケットカード","食費","夜ご飯","","0","8s8y8a3cQpdtvDZBd0qUEqMlv0-yl3X19aDfTR4dykU"
"0","2025/04/11","AP/モバイルPASMOチャージ","-5000","ポケットカード","現金・カード","電子マネー","","1","qp_BEeBLWQ8nWdpU5QxsCmWW1YFKFc5N2LWYrTIshB0"
"1","2025/04/11","JAMJAM ライナー","-4000","ポケットカード","交通費","バス","","0","LxGw4FnVeKabQZzRDsg-cr9BJXaokwAdKxLd2tU7e20"
"1","2025/04/11","ラクテントラベルコウソクバスバスツ","-4400","ポケットカード","交通費","バス","","0","r4NA_iwEdofxn_Ftiql_tIbk_0IeiM0lKodGsaNYEVk"
"1","2025/04/11","オーケー ズシテン","-1658","ポケットカード","食費","食料品","","0","zVdkc7V_E8Eh6pya2PSiOojHqeP_MFDb_Gu4jfTLf3c"
"0","2025/04/11","JCBデビット","-967","みずほ銀行","現金・カード","カード引き落とし","","1","TGFwkI7Yc0QaOFlQly3DNGBkIaTRqC-lvICL90HwheA"
"0","2025/04/10","ヘンサイキン 4ガツ","10000","仙台銀行","未分類","未分類","","1","pp-KDeBTpio3kIk2styZVbir7xqtDNddSAHoCJplC8U"
"1","2025/04/10","カシコシリソク 4ガツ","-1108","仙台銀行","その他","雑費","","0","yt0pxvbQMC59bIDrHvLLw1nIxZlxsS0f2_E0nmoDKSk"
"0","2025/04/10","ヘンサイキン 4ガツ","-10000","仙台銀行","住宅","ローン返済","","1","l0Sc0TxMAm2HuqR3ZFmdwg_3abkAFOCFrtawW3djBz0"
"1","2025/04/10","Holdit スマホケース (iPhone 16 / モカブラウン) スマホ ケース カバー (シリコン/ワイヤレス充電可能/強力なグリップ) iphoneケース iPhone16 販売: 株式会社ラウダ(メーカー直営・国内総代理店)","-2880","Amazon.co.jp","日用品","日用品","","0","3JjMUft8OJCT2Ddfoq6dVvm7Z18SIw0LPwh6abk5IMY"
"1","2025/04/10","UGREEN USB Type C ケーブル USB A to USB C ケーブル ナイロン編み 3A急速充電 Quick Charge 3.0/2.0対応 56Kレジスタ実装 iPhone15/Galaxy S24/Pixel/Google/Xperia/LG等対応 (0.5m) 販売: Ugreen Japan Co., Ltd","-599","Amazon.co.jp","日用品","電子機器類","","0","i4-iFjvwtMVVcFxIUO4rdmDYlUrhhqr0FPNJmkUuyCo"
"1","2025/04/10","モエリさんに送金（譲渡）","-2528","PayPay","交際費","プレゼント代","#PayPay せいやケーキ","0","X4MzOeQsUeae9gjx1MmvedRvtKYK01nvnPXgoRlxzA4"
"0","2025/04/10","ペイペイ","3000","PayPay","未分類","未分類","","1","9PyYjqOVWYTDaQs8utieJdrsmnADENpVl90MOlNwIP0"
"1","2025/04/10","ウーバーイーツ","-1576","みずほJCBデビット","食費","昼ご飯","","0","biBJrC1K6v5JJBgRQXxQZUK3441hs4BSCC8powF4ImA"
"0","2025/04/10","AMAZON.CO.JP","-2880","ポケットカード","教養・教育","書籍","","1","tYSlCUwczqUDE7QiK74h5kzjfQQ9_XCykLUfWB6BRds"
"0","2025/04/10","AMAZON.CO.JP","-599","ポケットカード","教養・教育","書籍","","1","8oM_DC5Giyhy_1bTpd6eL6X-c3xsuRwlHVOMO5JsVsk"
"0","2025/04/10","ペイペイ","-3000","みずほ銀行","未分類","未分類","","1","KIJcLlmdOjh0xdIX4VrAB9DNfJol6KZJtm4riJeBxm4"
"0","2025/04/10","JCBデビット","-1576","みずほ銀行","現金・カード","カード引き落とし","","1","4QSIdsm5WDlkdSz6nsUAIqJKslApVPXIeb90qXeFw2I"
"1","2025/04/09","入 逗子 出 馬喰町","-945","モバイルPASMO","交通費","電車","","0","GS0WDT6Jds-LDE_TAhCWmBM_XHzXOEmB_2ZRQ_XUIDo"
"1","2025/04/09","入 馬喰横山 出 都神保町","-178","モバイルPASMO","交通費","電車","","0","w2TS-SLvu05aNsGx6NUMHNZ3aeoZUFtRyqQcsWjL89w"
"1","2025/04/09","物販","-151","モバイルPASMO","食費","食費","","0","Hsfmqt-4VKFhW3z62Tea1xAaihbYSnHqX5_71vs-lHA"
"1","2025/04/09","入 都水道橋 出 都日比谷","-178","モバイルPASMO","交通費","電車","","0","sg4s1g8uPBJhOXkhu_O_w4Sp7D-VHoGF8zzvXN5ZHAs"
"1","2025/04/09","入 有楽町 出 秋葉原","-146","モバイルPASMO","交通費","電車","","0","nWLjjYlQeIxHlegn_aMfzn_fr3yF5ayBvCo4OA6LJ54"
"1","2025/04/09","入 秋葉原 出 亀戸","-167","モバイルPASMO","交通費","電車","","0","NCeKRJKQ1VRcDLQOlNPCBOQJTTdXOeaYgAsa_lPzuEc"
"1","2025/04/09","【整備済み品】 純正品 東芝 Toshiba dynabook AZ65 AZ45 AZ25等 ノートパソコン用 純正ACアダプタ PA5177U-1ACA 19V 2.37A 45W L字型 純正ACアダプター(整備済み品) 販売: ターゲットジャパン","-1580","Amazon.co.jp","特別な支出","仕事用","","0","O6ERO53M4UpTsRCYGAj43YIWbDa9J0VCM8x-dmr79N0"
"0","2025/04/09","AMAZON.CO.JP","-1580","ポケットカード","教養・教育","書籍","","1","5Vglh1o3aDDBN8rCd_9-ucI4wayzbTeMVyjJpYhrdIE"
"1","2025/04/09","ヨドバシカメラ マルチメデイア アキバ","-5260","ポケットカード","日用品","日用品","","0","N0AR5Kpcry2GvDwawQSJZNQYj3JWM_LYLeXjgfOQo5U"
"1","2025/04/08","AP/スターバックスコーヒージャパン","-580","ポケットカード","食費","カフェ","","0","l8W53EiJ0Sogi4SQ9xjV_H_7jb5K4fWBkicRwPX6Vbg"
"1","2025/04/08","AP/モバイルPASMOチャージ","-2000","ポケットカード","現金・カード","電子マネー","","0","6iPiCtSiROmUeaHty6UW9HYreJ-4Be8Mk7-XCRfpRaE"
"1","2025/04/08","エービーシーマート コースカベイサイドス","-5390","ポケットカード","衣服・美容","衣服","","0","BfguujwySp_E5ZRLdjP8tl4EkawFy9plXQLZ95foHiw"
"1","2025/04/08","AP/iD/コースカベイサイドストアーズ","-600","ポケットカード","食費","食費","","0","UR_ZY66Qt1HnxzjiAtYTRiCj_3M2sqFPgK3a8KMBJmk"
"1","2025/04/07","Seninhi lightning usb-c 変換アダプタ 【2個セット】 typec (オス) lightning (メス) 変換 ライトニングケーブル タイプc 変換 データ転送 充電対応 (イヤホン対応不可) iPhone 15シリーズ対応 (ホワイト) BSUSBPG152B 販売: Fitch Reassae","-698","Amazon.co.jp","特別な支出","仕事用","","0","uZMZXfyRF8JKFDnMXrZhLdf7rpYg7sSdLH50UiflIHA"
"0","2025/04/07","AMAZON.CO.JP","-698","ポケットカード","教養・教育","書籍","","1","vVjcyav3Y9gLGsRCuaoVDNcQeaaszffzexK0IJSGr0k"
"1","2025/04/07","コウザフリカエ SMBC(ACサ-ビス","-23000","横浜銀行","その他","返済","","0","bzHcQJDLT0Vs4Ztwni3prSSsnYBJwDuIxabscbqK_Hc"
"0","2025/04/07","コトラソウキン クドウ リク","18000","横浜銀行","未分類","未分類","","1","pxwcb7dgWFtzRTjlcRe0AdSz66Bw8HgL2bEyR2pdY7Q"
"0","2025/04/07","ジエイコインペイ","-18000","みずほ銀行","未分類","未分類","","1","uW6SID260K5mujbLx8uF5u5yQG2SQKmkeigVt2XwlMw"
"1","2025/04/05","AP/佐野天然温泉 湯処のぼり雲","-177","ポケットカード","食費","食費","","0","wZ9A_a13L1mykGgEdn_z6KiPEI1jcVbZV3k3MKZxCPA"
"1","2025/04/05","APPLE COM BILL","-1500","三井住友カード (VpassID)","通信費","その他通信費","","0","xs2F_t3Ix18vQPIHtssyJiRO6d4nqIU-ugAb8_jbk-M"
"1","2025/04/04","コミネ(KOMINE) バイク用 ネオレインブーツカバーロング ブラック L RK-033 385 販売: Amazon.co.jp","-3612","Amazon.co.jp","趣味・娯楽","バイク","","0","fr-_QuOUtFC8GOs2KBan8EP-zoAsDZxFlCa7XTf3434"
"1","2025/04/04","Tomoyaさんに送金（譲渡）","-60000","PayPay","住宅","家賃・地代","#PayPay","0","dnU3fgc4DJDLifeUmGIRhyTJFHPDIdSstI7fs0DLWao"
"0","2025/04/04","AMAZON.CO.JP","-3612","ポケットカード","教養・教育","書籍","","1","ZlV7P5ZFiykUQ_OHYxUuUIw_h9LhiikXmgGhJfMO4AY"
"1","2025/04/04","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","VfABl99VKJwQEUJ5fcdV29qeYSqmVlhnJd5Vh6N8BGM"
"0","2025/04/04","コウザフリカエ ペイペイ チヤ-ジ","-60000","横浜銀行","現金・カード","電子マネー","","1","x3YGot_SvOi3LGC8ZuqpDRngrm1YtZW7GgQXwsD9r90"
"1","2025/04/03","有限会社 水野商店","-390","PayPay","食費","食費","#PayPay","0","6J84ipSqJW-NsgJgDIdD-bTpUJGW60J0Mw-2Igl_HAc"
"1","2025/04/03","キッチンオリジン、オリジン弁逗子店","-541","PayPay","食費","食費","#PayPay
いつもの買い物でPayP","0","YIn2LMaoRhtzEGw-4dwQUKrmqSG5hnKxKDwN4BS3ZLs"
"1","2025/04/03","フエアブルームミトアメイジングステージ","-30000","ポケットカード","交際費","冠婚葬祭","かさ御祝儀","0","RkTJK7G7ZUfa-3PzNJGzpkmzEtP6kwFooCdzscaLlGI"
"1","2025/04/02","Amazonポイント","1100","Amazon.co.jp","未分類","未分類","","0","8xme2Y6IPgTz3u7prlfP9ULbEacGt2SLsx3yWrdj4is"
"1","2025/04/02","【Amazon.co.jp限定】バッファロー 外付けハードディスク 4TB テレビ録画/PC/PS4/4K対応 バッファロー製nasneTM対応 静音&コンパクト 日本製 故障予測 みまもり合図 HD-AD4U3 販売: Amazon.co.jp","-13481","Amazon.co.jp","趣味・娯楽","撮影","","0","KKh1nLsKRjnN7mGdIrvI_KyMpmtLtERSp0A9KjS97GQ"
"1","2025/04/02","Amazonポイント","135","Amazon.co.jp","未分類","未分類","","0","DZmcbsDJPyKIxJgQ5JBl1boc8k5ECNBc7zv8jW3BcgM"
"1","2025/04/02","割引","480","Amazon.co.jp","未分類","未分類","","0","CfzSe3D28XDjtjvyjrEEj_sRa5lynyO8--EmmGcmli4"
"1","2025/04/02","konciwa 日傘 超軽量 189g-199g UVカット率 100% 完全遮光 遮熱 ワンタッチ自動開閉 折りたたみ傘 コンパクト 折り畳み日傘 紫外線遮断 耐風撥水 晴雨兼用 携帯便利 メンズ レディース 母の日 父の日 販売: Konciwa 傘専門店","-2980","Amazon.co.jp","日用品","日用品","","0","nheJXSIbMsNlwwHCkrRa52TPb7Osb2djxbFu-OpjL34"
"1","2025/04/02","サウンドハウス","-238","PayPay","趣味・娯楽","ドラム","#PayPay","0","8qkcXiqmxzQFeWS7u2GFN8NeBvI7z0kkobaV5cChFqw"
"0","2025/04/02","ペイペイ","3000","PayPay","未分類","未分類","","1","qD1GviF3yEg0zOke-COH4uN3MWYFG7KCsIL52wfIqaE"
"1","2025/04/02","フアミリ－マ－トハヤママチ","-184","みずほJCBデビット","食費","食料品","","0","ruBiTXXCJCN7IPPtGtiHALBOkf9cUR1y0mShNowUs94"
"0","2025/04/02","AMAZON.CO.JP","-2365","ポケットカード","教養・教育","書籍","","1","7KgI_vL3EQsLmMNvLYMNMqrEIn4lDIqzgbbX41SnZHQ"
"0","2025/04/02","AMAZON.CO.JP","-12381","ポケットカード","教養・教育","書籍","","1","pL1zsCjCjgLv0gRASfz1SJK3dUKFvmPf9sKBnpRha0U"
"1","2025/04/02","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","B9JZ1EktJ3ApVmJdbSloxmlgo8NAS6r4Tz1AkwIhxYQ"
"1","2025/04/02","AP/東京駅一番街","-1089","ポケットカード","食費","外食","","0","bKDcoe6HxDOjcoKpozSnBOu3qG3nuv9gNj8fVnROnag"
"0","2025/04/02","コトラソウキン クドウ リク","-30000","横浜銀行","未分類","未分類","","1","yv8n_pCgq1jN_niWwqHjp7ogtQ8U_oC8oOqi9n4CSBQ"
"0","2025/04/02","ペイペイ","-3000","みずほ銀行","未分類","未分類","","1","8L7I63hvSA6Jkk4MwOpyhfHhjfCjaj5X7HW4Y4_RrH8"
"0","2025/04/02","JCBデビット","-184","みずほ銀行","現金・カード","カード引き落とし","","1","yKZ3O6QOTGfXtXol14BFdh-YUFWqg-zP9AF-VigEgls"
"0","2025/04/02","ことら クドウ リク","30000","みずほ銀行","未分類","未分類","","1","CXf5w2zj9Gb-YMGGkB4e62d9QL_mh6Gl0knDJV7H9-E"
"0","2025/04/01","ジドウキ (ユウチヨ)","20000","現金","未分類","未分類","","1","YTMXf7YW9BhI_S9-MEJNpC6K1OFJks_-gj3ao8g3NCQ"
"1","2025/04/01","皓夢さんに送金 （譲渡）","-5000","PayPay","その他","仕送り","#PayPay 母へ","0","jdSJO5pj4ydswdJqtpZ0kUUW2xz8pngdVRa1PZZKByM"
"0","2025/04/01","コウザフリカエ ペイペイ チヤ-ジ","5000","PayPay","未分類","未分類","","1","_UpnDdyR4krSxIK4oCIsfdjTWvV8BLOo42scYBAdtCg"
"1","2025/04/01","テスウリヨウ (ユウチヨ)","-110","横浜銀行","その他","雑費","","0","xE0P0M2yGKlX19deyk3ULYyS-X7-_zuoI-dPKMEsZh0"
"0","2025/04/01","ジドウキ (ユウチヨ)","-20000","横浜銀行","現金・カード","ATM引き出し","","1","b0YsXD5Wn99pn4q79AoWwXg_j3NA4CBjgWq2wuOQEkU"
"0","2025/04/01","コウザフリカエ ペイペイ チヤ-ジ","-5000","横浜銀行","現金・カード","電子マネー","","1","4DksA4rPhOV1Yx2xIR5yTFsKl2ly0nMXKtlXFiUuI9s"
"0","2025/04/01","コウザフリカエ ポケツトカ-ド","-56444","横浜銀行","現金・カード","カード引き落とし","","1","U3lmcoAh4ClzGB0gX0LTyH-k9fn5qUrjqI96nNqt574"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/05/31","新星自動車","-4400","三井住友カード (VpassID)","交通費","タクシー","","0","CvPyt87oYRTlMrRFs41MdBGgCkZJPxVmn-FxrgSbmjY"
"1","2025/05/31","條さん","2200","PayPay","収入","立替金","#PayPay","0","eQJelXwjTVBvlitpxUAYXBqAzIqdYCW6nZ5IEGEfqFc"
"1","2025/05/31","かさの結婚式二次会","-4500","現金","交際費","飲み会","","0","N6y9JfRxqw1smBglw9kPewWLd8qUbbhGjnZ5JeZtT9g"
"1","2025/05/31","入 逗子葉山 出 京急横浜","-347","モバイルPASMO","交通費","電車","","0","DRm9GZSxfEg6MiBeaYb8MAxyv3uRMmC-nH0XirIIf1o"
"1","2025/05/31","入 横浜 出 水戸","-2640","モバイルPASMO","交通費","電車","","0","-w5wy7YDCrUB0avAsztK7Bc0-rGNcOY7T5aNwIollAc"
"0","2025/05/31","JCBデビット","-320","みずほ銀行","現金・カード","カード引き落とし","","1","iRvZimP6hCgefy_zTxq86AjEFR0wJlGAk7lpBfbkNSE"
"0","2025/05/31","JCBデビット","-120","みずほ銀行","現金・カード","カード引き落とし","","1","d9Mysc3lsXqz8qIugtOBh3k_pAFZ61NTcDc4aiu3iaM"
"0","2025/05/31","JCBデビット","-1580","みずほ銀行","現金・カード","カード引き落とし","","1","zYwVBe3UyxS-51SEgcV-curFwwY5hvYOVo37_WyFEK8"
"0","2025/05/31","JCBデビット","-172","みずほ銀行","現金・カード","カード引き落とし","","1","a0uffwjghXJXq36zuMUic3heppn5iQlHv9zb7kr3DuA"
"1","2025/05/31","＊セブン－イレブン","-172","みずほJCBデビット","食費","食料品","","0","hzU6KAf4Q5qhm8e1gjUiWN9kYVVifF_GSda0mxohf5A"
"1","2025/05/31","＊ジエイアールヒガシニホングループ","-1580","みずほJCBデビット","交通費","電車","","0","Ab0waCl_A5_3s8m23I_wOmXrvd7IB0I6jRwEMGRxw74"
"1","2025/05/31","＊ジエイア－ルヒガシニホンエキナカジハンキ　アキユ","-120","みずほJCBデビット","交通費","電車","","0","HCgSxNekREjldCDNHb4fMmhaqO1T06JgiD5AZZlQd0E"
"1","2025/05/31","＊ミトエクセル","-320","みずほJCBデビット","食費","食費","","0","Joe46NHhZxbS84YN-X0kEVdSm2VcwJ8pMQecMQnKpZM"
"1","2025/05/30","【Amazon.co.jp 限定】 ハウス カリー屋 9種コンプリートセット (甘口/中辛/辛口/大辛/ポーク/チキン/ハヤシ/コクデミ/キーマ) 【セット買い】 [レンジ化対応・レンジで簡単調理可能] 販売: Amazon.co.jp","-1438","Amazon.co.jp","食費","昼ご飯","","0","-WtS2ae7udnGrux3zoeE1wnb7blI50l33JJoU9pS6t4"
"1","2025/05/30","APPLE COM BILL","-1200","三井住友カード (VpassID)","通信費","その他通信費","","0","bppOOx3DszjG0vntIOwLpKStjWYpdJZLZENdjyNhE48"
"0","2025/05/30","AMAZON.CO.JP","-1438","三井住友カード (VpassID)","教養・教育","書籍","","1","RSOweX6fKQd7lV2L6BiAOThvK1k900BMW3iCu4MIUFY"
"1","2025/05/30","ともや","-5000","現金","交際費","飲み会","","0","JyIyA9grmXA5T28dp1R7NR7pFqcxem2_UfhesyCrcew"
"1","2025/05/29","povoご利用料金","-6490","三井住友カード (VpassID)","通信費","携帯電話","","0","PAtXSx1mVP5r-C0vxbloNsgyhifiee51Z8pnoJ8sIcQ"
"0","2025/05/29","モバイルPASMOチャージ","-5000","三井住友カード (VpassID)","現金・カード","電子マネー","","1","1vAEnoqYFXm189BRfDCL6y_k8m7mRn6hkJAqm-U3W2U"
"1","2025/05/29","","-1300","現金","健康・医療","医療費","","0","hL3zcrn5tOBIRPrNe4YJTleUSlmJWMP1d6XZJc1kptA"
"1","2025/05/29","入 逗子葉山 出 日ノ出町","-347","モバイルPASMO","交通費","電車","","0","4u1U_UBE1Q4eFzJUSbmO1vRbUt7Q2Ef1Ln3QUdqL38g"
"0","2025/05/29","カード モバイル","5000","モバイルPASMO","未分類","未分類","","1","JpKO2KZqP-iCoYfYM4CRaOddAct5dR3rKcwruDv6how"
"1","2025/05/29","入 日ノ出町 出 逗子葉山","-347","モバイルPASMO","交通費","電車","","0","w-Vn6y1gxxmd3ZmHaYoppwZG9H70GqVW3GSvn_GzMAA"
"1","2025/05/29","バス等 京急バス","-400","モバイルPASMO","交通費","バス","","0","5WbrdnpyIDpqC-hO8IeMmoAq07O88-v-E6buvnIMVX0"
"0","2025/05/29","JCBデビット","-1080","みずほ銀行","現金・カード","カード引き落とし","","1","fTEOZ_DmzmscdRGyNjMVyfGKbtXlnRYvCWsPbc_vWio"
"0","2025/05/29","JCBデビット","-138","みずほ銀行","現金・カード","カード引き落とし","","1","29xfBq_pLPiXm62dnKfeWb4sbjin2ArIFrXunzKdkgs"
"1","2025/05/29","＊クイツクペイリヨウ","-138","みずほJCBデビット","食費","食費","","0","8QPeefe5cUHhzbP57pL-G3sUciS0UFPlSILVeQT3omM"
"1","2025/05/29","＊カメハチハンテン　エスビー","-1080","みずほJCBデビット","食費","夜ご飯","","0","lFJIPIM9X337cgy_TpJCbJH6hY3OyjbbstHs_I8ejio"
"1","2025/05/28","相鉄ローゼン葉山店/iD","-1453","三井住友カード (VpassID)","食費","夜ご飯","","0","2vvj3Ghr7QeXE8cDnh-phnQyjLzYvvC1-meK_t56_-0"
"1","2025/05/28","","-1500","現金","食費","食費","","0","iv_TJnwLTHVxflNt-CywMXcJsViFuBoxwcOTsyU4TbM"
"1","2025/05/28","メルカリダブルベッド","6000","現金","収入","一時所得","","0","E2p-qjBgdsFZQsY2iybl3Z5BTA3OvQyFzYzdQeERK5Q"
"1","2025/05/28","＊ダイソ－","-555","みずほJCBデビット","日用品","日用品","","0","HnjE857X6sMU23A-l25SsYIZTe8Hvo73aHgB1MrqLzo"
"1","2025/05/28","＊ニホンマクドナルド（カ","-280","みずほJCBデビット","食費","外食","","0","bFCSRjeAmxn5E8DH2Zq7pb2-1uE_KoXhpzQHq7tl6Gw"
"0","2025/05/28","JCBデビット","-280","みずほ銀行","現金・カード","カード引き落とし","","1","wrBDMAgi8SFWvTTtnJd1tjXfrTTaHVDy9cfN1BVlrkQ"
"0","2025/05/28","JCBデビット","-555","みずほ銀行","現金・カード","カード引き落とし","","1","4_7YcUkp8geA-xgmDL-irDk-ntymDn_zfY-3kv3aJNs"
"1","2025/05/27","GOOGLE *YOUTUBEPREMIUM (G.CO/HELPPAY#)","-789","三井住友カード (VpassID)","通信費","情報サービス","","0","oBe1I5TFdPCGKvdVPblr0f1ezNXLT1q1Ek1Ks0_zfZM"
"1","2025/05/27","","-660","現金","自動車","駐車場","","0","XaoghsQ2p6UOOv3eRpef2BmbY_jREoTdobBvTaDlmNw"
"1","2025/05/27","肉丼","-1000","現金","食費","昼ご飯","","0","sCTMFUF7dtqyjvEw3S1eEZjx2npTwivzQaMr3hmz44Y"
"1","2025/05/27","入 逗子 出 東京","-945","モバイルPASMO","交通費","電車","","0","7LggnJY7fdNRZr9NO6d-PxR_75ifYtfFQQOojvzr76Y"
"1","2025/05/27","バス等 都電都B","-210","モバイルPASMO","交通費","バス","","0","6W3DkdUtACOCx3jZ8FkCEgfY2ZYVmL6qHoKvqfYHQVQ"
"1","2025/05/27","入 地八丁堀 出 銀座","-178","モバイルPASMO","交通費","電車","","0","DGBHpUy6J4W_IYNGOHt7L_OozCl-pjyiQHMcCD_wmSw"
"1","2025/05/27","入 銀座 出 地 新宿","-209","モバイルPASMO","交通費","電車","","0","GBEgIVRlaXoX2a8rpquD3EDugMo4Ia4-Hi7W9T9Y3Uc"
"0","2025/05/27","JCBデビット","-118","みずほ銀行","現金・カード","カード引き落とし","","1","dVOrP7s8_iDZcOwnbpM6Krz8W2ZgTJIOEoYrXOJMXLk"
"0","2025/05/27","JCBデビット","-118","みずほ銀行","現金・カード","カード引き落とし","","1","EXdSqqgggKnQYkonPKFaMKLR2XkGozZUGBpToFyTBvo"
"0","2025/05/27","JCBデビット","-108","みずほ銀行","現金・カード","カード引き落とし","","1","PEWl1IWLfYLoffbZ8xF3929UmIrQGDsMM_1r8zL6XOg"
"1","2025/05/27","コウザフリカエ オリコ","-3400","横浜銀行","その他","返済","","0","1SK3EL4xudYxP1n9Aa8fa769NchWx09Arg_h-JTMRuY"
"1","2025/05/27","コウザフリカエ ニホンガクセイシエンキ","-9899","横浜銀行","その他","返済","","0","qorQZQkdpyd1P0vEgqixgyQs-BFom5GPqfTi9GE_2Ns"
"1","2025/05/27","ゴヘンサイ","-12852","横浜銀行","その他","返済","","0","mCkFUmiE92taj581OkSYAdeQNUweWoSW_hufc39bdOM"
"1","2025/05/27","＊ニユ－デイズ　キオスク","-108","みずほJCBデビット","食費","食費","","0","ws8tranhUSewc2hOw4LsmnOHTNS1oYbCNcsrcIVXi10"
"1","2025/05/27","＊クイツクペイリヨウ","-118","みずほJCBデビット","食費","食費","","0","1WAZf3Kb6LaPwkD59kqLTj28Sjy4i0PwxyR3ATApgf0"
"1","2025/05/27","＊クイツクペイリヨウ","-118","みずほJCBデビット","食費","食費","","0","MbftuTgFxHXLAhkSKk4B_SdcrtnC3LlbohFhqyVM4no"
"1","2025/05/26","ETC 金沢支社 (自小矢部東本 至富山 軽・二)","-830","三井住友カード (VpassID)","自動車","道路料金","","0","_XuWr5h1WOrMFJnIfPDx5Yr4ZgTWskeQQMCIcBVE_DI"
"1","2025/05/26","ETC 金沢支社 (自小矢部東本 至小矢部東本 軽・二)","-280","三井住友カード (VpassID)","自動車","道路料金","","0","U0oCv1OICnOkPd_FAvWLTkdqO4jzPWavszLQZai3c2g"
"1","2025/05/26","ETC 特割 東京支社 (自圏央厚木 至横浜町田 軽・二)","-590","三井住友カード (VpassID)","自動車","道路料金","","0","n8tKtdpv7eJulgmbY3Ghoz4b4koOx245NH1dzhCc8Tc"
"1","2025/05/26","ETC 特割 東京支社 (自松本 至厚木PA 軽・二)","-3950","三井住友カード (VpassID)","自動車","道路料金","","0","Hg7sUqAAnU2cke9aa8fro8TkmbNRy3WDS19M67h_t7A"
"1","2025/05/26","中日本高速道路(株)東京支社","-630","三井住友カード (VpassID)","自動車","道路料金","","0","77Cdb_RU8ZVmCLFyNEw2TgAhXYWhZa5v4yYJ20c7VGg"
"1","2025/05/26","ETC 関東支社 (自狩場 至逗子 軽・二)","-600","三井住友カード (VpassID)","自動車","道路料金","","0","wcvG7u-bXmTb6D2r55je5d4-u_LqJeeJRgqOqqlutuU"
"0","2025/05/26","クドウ リク","10000","仙台銀行","未分類","未分類","","1","82kpBREs2BgzDxCINircNBmdJWOgYXs06GZG8vK03JY"
"1","2025/05/26","ENEOS-SS","-1841","三井住友カード (VpassID)","自動車","ガソリン","","0","cofKWiVFL4E1x9vPVN3btRIqI2a_oKF-Af5R6Esbklg"
"1","2025/05/26","ENEOS-SS","-838","三井住友カード (VpassID)","自動車","ガソリン","","0","jPs0hjvMsg_j3TNMmGXpRENxcq6BCGguqIXae58d1dE"
"1","2025/05/26","ENEOS-SS","-1736","三井住友カード (VpassID)","自動車","ガソリン","","0","LLz9QW1wTlZH821Ma4m7Ddz64TfaloA3UMOTjRcJfoM"
"1","2025/05/26","さとしさん","5000","PayPay","収入","給与","#PayPay","0","s0Te-KF59dL7v6V_ij0UaYYybCIdpS48448MVQ7_ejQ"
"1","2025/05/26","海鮮丼","-1900","現金","食費","昼ご飯","","0","6lgv33ohZZxSVB98BNpi2jGPIHlPT7bdWTrXqbWx-BY"
"0","2025/05/26","JCBデビット","-108","みずほ銀行","現金・カード","カード引き落とし","","1","YSb-yOxi-Y9n7EFAJo8ejdSy6KzckWEK3dvXsb1AaYQ"
